JobTitle,Company,Location
Software Engineering Co-op - Fall 2024 semester (Aug - Dec),Sealed Air Corporation,"Streetsboro, OH"
Fall 2024 Graduate Software Engineering Co-Op/Intern,AMD,"Austin, TX"
Software Development Co-op,Nokia,"California, United States"
Software Development Co-Op - Fall 2024,Medpace,"Cincinnati, OH"
Intern/Co-op-FALL 2024 - Software Engineering,"Innovative Systems, Inc.","Pittsburgh, PA"
Fall 2024 Software Development Co-Op (Bachelors),Ansys,"Canonsburg, PA"
Robotics - Software Development Engineer Co-Op - Fall 2024,myGwork - LGBTQ+ Business Community,"Westborough, MA"
API Intern - Fall 2024,HCSS,"Houston, TX"
Software Engineer Intern (Privacy and Security-Privacy Backend Infra) - 2024 Off Cycle/Fall (BS/MS),TikTok,"San Jose, CA"
Software Engineer Intern (Privacy and Security-Privacy Backend Infra) - 2024 Off Cycle/Fall (BS/MS),TikTok,"Seattle, WA"
